Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Test Accuracy,Model Size,Recall Drowsy,Recall Non-Drowsy,History Plot,Confusion Matrix
0.001,"[128, 320, 480]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[384, 128, 32]","[(2, 2), (2, 2), (2, 2)]",15,16,87.00000047683716,189.12646865844727,0.9,0.78,./plots/base_full_face/hist/history_1.png,./plots/base_full_face/cm/confusion_matrix_1.png
0.001,"[128, 320, 480]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[384, 128, 32]","[(2, 2), (2, 2), (2, 2)]",25,16,79.00000214576721,189.12646865844727,0.74,0.82,./plots/base_full_face/hist/history_2.png,./plots/base_full_face/cm/confusion_matrix_2.png
0.001,"[128, 320, 480]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[256, 128, 16]","[(2, 2), (2, 2), (2, 2)]",15,16,75.99999904632568,126.55554580688477,0.86,0.6,./plots/base_full_face/hist/history_3.png,./plots/base_full_face/cm/confusion_matrix_3.png
0.001,"[128, 320, 480]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[256, 128, 16]","[(2, 2), (2, 2), (2, 2)]",25,16,73.00000190734863,126.55554580688477,0.82,0.56,./plots/base_full_face/hist/history_4.png,./plots/base_full_face/cm/confusion_matrix_4.png
0.001,"[128, 256, 360]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[384, 128, 32]","[(2, 2), (2, 2), (2, 2)]",15,16,69.9999988079071,151.34497451782227,0.9,0.48,./plots/base_full_face/hist/history_5.png,./plots/base_full_face/cm/confusion_matrix_5.png
0.001,"[128, 256, 360]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[384, 128, 32]","[(2, 2), (2, 2), (2, 2)]",25,16,81.00000023841858,151.34497451782227,0.8,0.86,./plots/base_full_face/hist/history_6.png,./plots/base_full_face/cm/confusion_matrix_6.png
0.001,"[128, 256, 360]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[256, 128, 16]","[(2, 2), (2, 2), (2, 2)]",15,16,74.00000095367432,101.27405166625977,0.88,0.6,./plots/base_full_face/hist/history_7.png,./plots/base_full_face/cm/confusion_matrix_7.png
0.001,"[128, 256, 360]","[(3, 3), (3, 3)]","[(1, 1), (1, 1), (1, 1)]",adam,"[0.4, 0.2, 0.2]","[0, 0, 0]","[256, 128, 16]","[(2, 2), (2, 2), (2, 2)]",25,16,68.99999976158142,101.27405166625977,0.92,0.46,./plots/base_full_face/hist/history_8.png,./plots/base_full_face/cm/confusion_matrix_8.png
