Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Test Accuracy,Model Size,Recall Drowsy,Recall Non-Drowsy,History Plot,Confusion Matrix
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,50.0,0.8155860900878906,1.0,0.0,./plots/full_face/hist/history_81.png,./plots/full_face/cm/confusion_matrix_81.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,50.0,0.8155860900878906,1.0,0.0,./plots/full_face/hist/history_82.png,./plots/full_face/cm/confusion_matrix_82.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,79.00000214576721,0.8155860900878906,0.68,0.9,./plots/full_face/hist/history_83.png,./plots/full_face/cm/confusion_matrix_83.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,68.00000071525574,0.8155860900878906,0.9,0.48,./plots/full_face/hist/history_84.png,./plots/full_face/cm/confusion_matrix_84.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,67.00000166893005,1.6073341369628906,0.52,0.92,./plots/full_face/hist/history_85.png,./plots/full_face/cm/confusion_matrix_85.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,76.99999809265137,1.6073341369628906,0.62,0.96,./plots/full_face/hist/history_86.png,./plots/full_face/cm/confusion_matrix_86.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,51.99999809265137,1.6073341369628906,0.12,1.0,./plots/full_face/hist/history_87.png,./plots/full_face/cm/confusion_matrix_87.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,69.9999988079071,1.6073341369628906,0.6,1.0,./plots/full_face/hist/history_88.png,./plots/full_face/cm/confusion_matrix_88.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,67.00000166893005,1.6073341369628906,0.38,1.0,./plots/full_face/hist/history_89.png,./plots/full_face/cm/confusion_matrix_89.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,87.99999952316284,1.6073341369628906,0.84,0.88,./plots/full_face/hist/history_90.png,./plots/full_face/cm/confusion_matrix_90.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,77.99999713897705,0.8102149963378906,0.8,0.66,./plots/full_face/hist/history_91.png,./plots/full_face/cm/confusion_matrix_91.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,82.99999833106995,0.8102149963378906,0.78,0.94,./plots/full_face/hist/history_92.png,./plots/full_face/cm/confusion_matrix_92.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,77.99999713897705,0.8102149963378906,0.7,0.9,./plots/full_face/hist/history_93.png,./plots/full_face/cm/confusion_matrix_93.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,81.00000023841858,0.8102149963378906,0.84,0.88,./plots/full_face/hist/history_94.png,./plots/full_face/cm/confusion_matrix_94.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,82.99999833106995,0.8102149963378906,0.76,0.94,./plots/full_face/hist/history_95.png,./plots/full_face/cm/confusion_matrix_95.png
0.001,"[8, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,81.00000023841858,0.8102149963378906,0.86,0.8,./plots/full_face/hist/history_96.png,./plots/full_face/cm/confusion_matrix_96.png
