Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Test Accuracy,Model Size,Recall Drowsy,Recall Non-Drowsy,History Plot,Confusion Matrix
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,75.99999904632568,3.1775550842285156,0.68,0.76,./plots/full_face/hist/history_17.png,./plots/full_face/cm/confusion_matrix_17.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,75.99999904632568,3.1775550842285156,0.7,0.98,./plots/full_face/hist/history_18.png,./plots/full_face/cm/confusion_matrix_18.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,69.9999988079071,1.5991859436035156,0.9,0.52,./plots/full_face/hist/history_19.png,./plots/full_face/cm/confusion_matrix_19.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,85.00000238418579,1.5991859436035156,1.0,0.66,./plots/full_face/hist/history_20.png,./plots/full_face/cm/confusion_matrix_20.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,75.0,1.5991859436035156,0.92,0.84,./plots/full_face/hist/history_21.png,./plots/full_face/cm/confusion_matrix_21.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,57.999998331069946,1.5991859436035156,1.0,0.06,./plots/full_face/hist/history_22.png,./plots/full_face/cm/confusion_matrix_22.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,75.99999904632568,1.5991859436035156,0.56,1.0,./plots/full_face/hist/history_23.png,./plots/full_face/cm/confusion_matrix_23.png
0.001,"[16, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,75.99999904632568,1.5991859436035156,0.72,0.9,./plots/full_face/hist/history_24.png,./plots/full_face/cm/confusion_matrix_24.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,68.99999976158142,1.6212501525878906,0.42,1.0,./plots/full_face/hist/history_25.png,./plots/full_face/cm/confusion_matrix_25.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,74.00000095367432,1.6212501525878906,1.0,0.46,./plots/full_face/hist/history_26.png,./plots/full_face/cm/confusion_matrix_26.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,57.999998331069946,1.6212501525878906,0.3,0.9,./plots/full_face/hist/history_27.png,./plots/full_face/cm/confusion_matrix_27.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,80.0000011920929,1.6212501525878906,0.9,0.64,./plots/full_face/hist/history_28.png,./plots/full_face/cm/confusion_matrix_28.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,50.0,1.6212501525878906,1.0,0.0,./plots/full_face/hist/history_29.png,./plots/full_face/cm/confusion_matrix_29.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,63.999998569488525,1.6212501525878906,0.32,1.0,./plots/full_face/hist/history_30.png,./plots/full_face/cm/confusion_matrix_30.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,51.99999809265137,0.8241310119628906,1.0,0.02,./plots/full_face/hist/history_31.png,./plots/full_face/cm/confusion_matrix_31.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,50.999999046325684,0.8241310119628906,1.0,0.02,./plots/full_face/hist/history_32.png,./plots/full_face/cm/confusion_matrix_32.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,69.9999988079071,0.8241310119628906,0.66,0.88,./plots/full_face/hist/history_33.png,./plots/full_face/cm/confusion_matrix_33.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,52.99999713897705,0.8241310119628906,1.0,0.04,./plots/full_face/hist/history_34.png,./plots/full_face/cm/confusion_matrix_34.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,49.000000953674316,0.8241310119628906,0.98,0.02,./plots/full_face/hist/history_35.png,./plots/full_face/cm/confusion_matrix_35.png
0.001,"[16, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,74.00000095367432,0.8241310119628906,0.96,0.34,./plots/full_face/hist/history_36.png,./plots/full_face/cm/confusion_matrix_36.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,91.00000262260437,1.6105079650878906,1.0,0.66,./plots/full_face/hist/history_37.png,./plots/full_face/cm/confusion_matrix_37.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,69.9999988079071,1.6105079650878906,0.58,0.86,./plots/full_face/hist/history_38.png,./plots/full_face/cm/confusion_matrix_38.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,73.00000190734863,1.6105079650878906,1.0,0.1,./plots/full_face/hist/history_39.png,./plots/full_face/cm/confusion_matrix_39.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,91.00000262260437,1.6105079650878906,0.96,0.9,./plots/full_face/hist/history_40.png,./plots/full_face/cm/confusion_matrix_40.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,75.99999904632568,1.6105079650878906,0.74,0.82,./plots/full_face/hist/history_41.png,./plots/full_face/cm/confusion_matrix_41.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,76.99999809265137,1.6105079650878906,0.98,0.58,./plots/full_face/hist/history_42.png,./plots/full_face/cm/confusion_matrix_42.png
